Assembly,Component,Quantity,Notes
Drew Glass Cuff Small,Stamped Leather Cuff Small,1,
,Beads - Gray 15-377H,0.85,
,Beads - Dark Gray 15-368A,0.85,
,Labor for Small Cuff,1,
,Beads - Gold 15-4202,0.85,
,Beads - Silver 15-4201,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Stamped Leather Cuff Small,"Glue - Aleene's, 8 oz",0.0005,
,Leather - Cowhide,0.05443,
,Copper Strip - Small Bracelet,1,
,Labor for Stamped Cuff,1,
Drew Glass Cuff Large,Beads - Gray 15-377H,1.5,
,Beads - Dark Gray 15-368A,1.5,
,Beads - Gold 15-4202,1.5,
,Beads - Silver 15-4201,1.5,
,Stamped Leather Cuff Large,1,
,Labor for Large Cuff,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Stamped Leather Cuff Large,"Glue - Aleene's, 8 oz",0.0005,
,Leather - Cowhide,0.08403,
,Copper Strip - Large Bracelet,1,
,Labor for Stamped Cuff,1,
Andrea Glass Cuff Small,Stamped Leather Cuff Small,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Small Cuff,1,
,Beads - Gold 15-4202,0.95,
,Beads - Silver 15-4201,1.22,
,Beads - Dark Gray 15-377N,0.95,
,Beads - Gray 15-1866,0.27,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Andrea Glass Cuff Large,"Glue - Aleene's, 8 oz",0.0005,
,Beads - Gold 15-4202,1.8,
,Beads - Silver 15-4201,1.98,
,Stamped Leather Cuff Large,1,
,Labor for Large Cuff,1,
,Beads - Gray 15-1866,0.42,
,Beads - Dark Gray 15-377N,1.8,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Coco Glass Cuff Small,Stamped Leather Cuff Small,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Small Cuff,1,
,Beads - Gold 15-4202,0.85,
,Beads - Silver 15-4201,0.85,
,Beads - Dark Gray 15-377N,0.85,
,Beads - Black 15-401,0.85,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Coco Glass Cuff Large,"Glue - Aleene's, 8 oz",0.0005,
,Beads - Gold 15-4202,1.5,
,Beads - Silver 15-4201,1.5,
,Stamped Leather Cuff Large,1,
,Labor for Large Cuff,1,
,Beads - Black 15-401,1.5,
,Beads - Dark Gray 15-377N,1.5,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Dakota Glass Cuff Small,Stamped Leather Cuff Small,1,
,Labor for Small Cuff,1,
,Beads - Silver 15-4201,1.71,
,Beads - Dark Gray 15-377N,0.85,
,Beads - Black 15-401,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Fern Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,0.85,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,0.85,
,Beads - Gold 15-4202,0.85,
,Beads - Silver 15-4201,0.85,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Fern Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - 13/0 Charlotte Cut - Light Green Pearl,4,
,Beads - 13/0 Charlotte Cut - Teal Opaque Iris,4,
,Beads - Gold 15-4202,4,
,Beads - Silver 15-4201,4,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Fiona Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Gold 15-4202,0.68,
,Beads - Silver 15-4201,1.71,
,Beads - Turquoise 15-374,1.02,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0005,
,Thread - Nymo White Size D,0.00442,
Fiona Glass Cuff Large,Labor for Large Cuff,1,
,Stamped Leather Cuff Large,1,
,Beads - Gold 15-4202,1.2,
,Beads - Silver 15-4201,3,
,Beads - Turquoise 15-374,1.8,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size B,0.0018,
,Thread - Nymo White Size D,0.00694,
Grace Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Silver 15-4201,0.85,
,Beads - Gray 15-1866,1.71,
,Beads - Blue 15-399H,0.51,
