WorkOrderNumber,Date,Comment,Closed,Quantity,DueDate,Item,Memo,SalesOrderId,UOMSetId,LineNumber,QuantityRaw,Job
PC0412,4/5/2017 0:00,,FALSE,2,4/12/2017,Aleksa Large cuff,,,,0,,
PC0412,4/5/2017 0:00,,FALSE,2,4/12/2017,Aleksa Small cuff,,,,0,,
PC0412,4/5/2017 0:00,,FALSE,1,4/12/2017,Sonia Cuff Small,Gold + Silver + 494,,,0,,
PC0412,4/5/2017 0:00,,FALSE,2,4/12/2017,Tia Large cuff,,,,0,,
PC0412,4/5/2017 0:00,,FALSE,2,4/12/2017,Iris Luxe Cuff Large,,,,0,,
PC0412,4/5/2017 0:00,,FALSE,1,4/12/2017,Iris Luxe Cuff Small,,,,0,,
PC0412,4/5/2017 0:00,,FALSE,1,4/12/2017,Drew Luxe Cuff Large,,,,0,,
PC0412,4/5/2017 0:00,,FALSE,1,4/12/2017,Drew Luxe Cuff Small,,,,0,,
CC0412,4/5/2017 0:00,,FALSE,5,4/5/2017 3:29,Tina Glass Cuff Large,,,,0,,
CC0412,4/5/2017 0:00,,FALSE,4,4/5/2017 3:29,Tina glass cuff small,,,,0,,
CC0412,4/5/2017 0:00,,FALSE,1,4/5/2017 3:29,Torian Small Cuff,,,,0,,
CC0412,4/5/2017 0:00,,FALSE,2,4/5/2017 3:29,Tara Large Cuff,,,,0,,
CC0412,4/5/2017 0:00,,FALSE,2,4/5/2017 3:29,Tara Small Cuff,,,,0,,
CC0412,4/5/2017 0:00,,FALSE,1,4/5/2017 3:29,Theo Small cuff,,,,0,,
VW0412,4/5/2017 0:00,,FALSE,2,4/5/2017 3:31,Torian Large Cuff,,,,0,,
VW0412,4/5/2017 0:00,,FALSE,2,4/5/2017 3:31,Tai Glass Cuff Large,,,,0,,
VW0412,4/5/2017 0:00,,FALSE,3,4/5/2017 3:31,Tai Glass Cuff Medium,,,,0,,
VW0412,4/5/2017 0:00,,FALSE,2,4/5/2017 3:31,Sienna Glass Cuff Large,,,,0,,
VW0412,4/5/2017 0:00,,FALSE,4,4/5/2017 3:31,Sienna Glass Cuff Small,,,,0,,
VW0412,4/5/2017 0:00,,FALSE,1,4/5/2017 3:31,Cara Glass Cuff Small,,,,0,,
VW0412,4/5/2017 0:00,,FALSE,1,4/5/2017 3:31,Theo Small cuff,,,,0,,
TB0412,4/5/2017 0:00,,FALSE,1,4/5/2017 3:32,Torian Small Cuff,,,,0,,
TB0412,4/5/2017 0:00,,FALSE,2,4/5/2017 3:32,Kalani Glass Cuff Large,,,,0,,
TB0412,4/5/2017 0:00,,FALSE,2,4/5/2017 3:32,Theo Large cuff,,,,0,,
TB0412,4/5/2017 0:00,,FALSE,1,4/5/2017 3:32,Grace Glass Cuff Large,,,,0,,
TB0412,4/5/2017 0:00,,FALSE,2,4/5/2017 3:32,Grace Glass Cuff Small,,,,0,,
DB0412,4/5/2017 0:00,,FALSE,2,4/12/2017,Kalani Glass Cuff Small,,,,0,,
DB0412,4/5/2017 0:00,,FALSE,3,4/12/2017,Cara Glass Cuff Large,,,,0,,
DB0412,4/5/2017 0:00,,FALSE,2,4/12/2017,Tess Large cuff,,,,0,,
